编号,标题,作者_年份,期刊级别,数据层级/区域,调研/数据年份,作物分类,样本量 (N),自由度 (DF),因变量定义 (Y) 及形式,自变量定义 (X) 及形式,样本均值 (Yˉ / Xˉ),模型设定,控内生性,核心回归系数 β,标准误 SE 或 t 值,[轨道一] PCC,[轨道一] SEPCC​,[轨道二] CASM 对接弹性 (Emeta​),CASM 软链接目标,检查结果,来源
P_01,,孟娜_2026,核心期刊,微观 / 安徽,2007-2024,rice,2412,2412,水稻单产 (Level),耕地块数 (Level),"Yˉ=495.069,Xˉ=5.799",双向固定效应 FE,1 (滞后一期 IV),-1.965,SE = 0.644,0.139,0.02,弹性 = 0.188,YieldInt2 (门槛机制),已修正,中文人工check
P_02,,姚成胜_2025,核心期刊,宏观 / 全国,2003-2023,cgrn,651,651,粮食总产 (Log),耦合协调度 (Log),未报告,固定效应空间杜宾 SDM,1 (空间滞后),0.349,t = 0.173,0.362,0.034,弹性 = 0.182,YieldInt2 (溢出机制),已修正,中文人工check
P_03,,彭建仿_2024,核心期刊,宏观 / 全国,2011-2021,cgrn,341,341,粮食单产 (Level),数字技术 (Level),"Yˉ=5.490,Xˉ=0.122",固定效应 FE,1 (IV),1.804,SE = 0.379,0.116,0.054,弹性 = 0.194,YieldInt2,已修正,中文人工check
P_04,,管宁宁_2024,核心期刊,微观 / 江苏,2021,rice,533,533,产出效率 TE (Level),农业产业链服务 (Level),"Yˉ=0.874,Xˉ=1.115",Translog-SFA + CLAD,1 (PSM),0.007,SE = 0.002,0.086,0.043,探讨效率 TE,讨论 Efficiency,已修正,中文人工check
P_05,,薛信阳_2024,核心期刊,微观 / 豫鲁冀陕,2021,"whea, maiz",491,491,技术效率 TE (Level),农机社会化服务费用 (Log),"Yˉ=0.79,Xˉ=7.21",SFA + IV-Tobit,1 (村均值 IV),0.711,SE = 0.067,0.432,0.04,探讨效率 TE,讨论 Efficiency,已修正,中文人工check
P_06,,彭新宇_2023,核心期刊,宏观 / 全国,2009-2019,cgrn,309,309,技术无效率 (Level),农机服务规模经营 sca (Level),Xˉ=0.14,SFA 无效率模型,0,-1.570 (无效率),SE = 0.390,0.386,0.05,探讨效率 TE,讨论 Efficiency,已修正,中文人工check
P_07,,魏素豪_2023,核心期刊,微观 / 华北,2019-2020,"whea, maiz",667,667,技术效率 TE (Level),本地化农机作业服务环节数 (Level),"Yˉ=0.546,Xˉ=4.113",SFA + CMP-IV-Tobit,1 (IV),0.058,SE = 0.017,0.13,0.038,探讨效率 TE,讨论 Efficiency,已修正,中文人工check
P_08,,胡霞_2023,核心期刊,微观 / 29省,"2015, 2017",cgrn,9297,9297,粮食作物播种面积占比 (Level),农机服务市场发育程度 (Level),"Yˉ=0.904,Xˉ=0.531",IV-Tobit,1 (IV),0.368,SE = 0.054,0.071,0.01,半弹性 = 0.407,AreaInt2,已修正,中文人工check
P_09,,刘颖_2023,核心期刊,微观 / 长江东北,2020,rice,859,未报告,水稻产量 (Log),亩均机械投入费 (Log),"Yˉ=550.33,Xˉ=260.03",SFA,0,0.207,SE = 0.085,0.083,0.034,弹性 = 0.207,YieldInt2,已修正,中文人工check
P_10,,宦梅丽_2023,核心期刊,微观 / 全国,2018,maiz,1185,未报告,技术非效率 (Level),农机服务概率预测值 Service_p (Level),Xˉ=0.584,Probit + Translog SFA,1 (Probit预测值),-0.044 (无效率),SE = 0.021,0.056 (转正),0.026,探讨效率 TE,讨论 Efficiency,已修正,中文人工check
P_11,,卢华_2023,核心期刊,微观 / 江苏,2018,rice,328,未报告,粮食单产 (Log),农机服务 (虚拟),"Yˉ=1225.49,Xˉ=0.49",IV 工具变量法,1 (IV),0.227,SE = 0.123,0.23,0.054,半弹性 = 0.180,YieldInt2,已修正,中文人工check
P_12,,薛信阳_2022,核心期刊,微观 / 全国(CLDS),2016,cgrn,2272,未报告,粮食作物种植面积 (Level),农机社会化服务 (虚拟),"Yˉ=7.72,Xˉ=0.84",2SLS IV,1 (IV),0.116,p = 0.000,0.176,0.02,半弹性 = 0.0235,AreaInt2,已修正,中文人工check
P_14,,刘琼_2022,核心期刊,宏观 / 主产区,1998-2017,cgrn,260,未报告,农业生产效率 SBM (Level),大中型农机跨区作业 wx_lnmechmax (Log),"Yˉ=0.847,Xˉ=5.743",SBM + 面板门槛,0,0.079 / 0.064,t = 2.98 / 2.43,0.196,0.061,探讨效率 TE (空间溢出),讨论 Efficiency,已修正,中文人工check
P_15,,仇童伟_2021,核心期刊,微观 / 河南5县,2017,whea,3179,未报告,农地产出率 (Level),农机服务使用率 (Level),"Yˉ=5.465,Xˉ=0.879",2SLS IV,1 (IV),7.513,SE = 1.214,0.097,0.051,半弹性 = 0.134,YieldInt2 (适度规模),已修正,中文人工check
P_16,,许佳彬_2021,核心期刊,微观 / 黑龙江,2019,maiz,298,未报告,技术无效率 (Level),农机作业服务 (Level),Xˉ=2.06,C-D SFA 无效率模型,0,-0.1200 (无效率),SE = 0.0291,0.205 (转正),0.057,探讨效率 TE,讨论 Efficiency,已修正,中文人工check
P_17,,杨思雨_2022,核心期刊,微观 / 6省区,2019,whea,544,未报告,小麦生产技术效率 (Level),农机社会化服务 (Level),"Yˉ=0.835,Xˉ=2.297",SFA + 门限回归,0 (门限),0.017 (中等规模),SE = 0.004,0.079,0.043,探讨效率 TE,讨论 Efficiency,已修正,中文人工check
P_18,,杨思雨_2021,核心期刊,微观 / 12省区,2019,maiz,597,未报告,玉米生产技术效率 (Level),农机社会化服务 (虚拟),"Yˉ=0.818,Xˉ=0.499",SFA + PSM,1 (PSM),ATT=0.113,SE = 0.013,0.329,0.039,探讨效率 TE,讨论 Efficiency,已修正,中文人工check
P_19,,朱满德_2021,核心期刊,宏观 / 全国,1978-2018,cgrn,1189,未报告,粮食播种面积占比 (Level),综合机械化率 (Level),未报告,双向固定效应 FGLS,1 (FE控制),0.101,SE = 0.007,0.103,0.029,弹性 = 0.015,AreaInt2,已修正,中文人工check
P_20,,睢忠林_2021,核心期刊,宏观 / 15省,2005-2018,cgrn,210,未报告,环境效率 GTFP (Level),农业机械替代劳动力 ML (Level),"Yˉ=0.8892,Xˉ=2.51",SBM-DEA + PSDM,1 (空间控制),0.044 (直接效应),SE = 0.005,0.216,0.059,环境效率机制探讨,环境机制探讨,已修正,中文人工check
P_21,,宦梅丽_2021,核心期刊,微观 / 全国,"2014, 2016",cgrn,2063,未报告,粮食生产技术效率 (Level),机耕服务 Tillage (虚拟),Yˉ=0.6973,SFA + GLS,0,0.005,SE = 0.0029,0.028 (转正),0.014,探讨效率 TE,讨论 Efficiency,已修正,中文人工check
P_22,,徐建玲_2020,核心期刊,宏观 / 20省,2004-2018,maiz,300,未报告,玉米单产 (Log),农业机械化投入 (Log),"Yˉ=5489.50,Xˉ=921.72",双向固定效应 FE,1 (FE控制),-0.04,SE = 0.02,-0.211,0.056,弹性 = -0.158,YieldInt2 (异质性),已修正,中文人工check
P_23,,彭超_2020,核心期刊,微观 / 全国,2003-2016,cgrn,226741,未报告,粮食产值 (Log),机械作业费用 (Log),"Yˉ=6.510,Xˉ=-1.321",CRE SFA,1 (CRE),0.00101,SE = 0.000183,0.070 (转正),0.003,探讨效率 TE,讨论 Efficiency,已修正,中文人工check
P_24,,张丽_2020,核心期刊,宏观 / 31省,2004-2016,cgrn,394,未报告,TFP增长率 ΔTFP/TFP (Level),农机服务发展中级阶段 PD2 (虚拟),未报告,变系数SFA + OLS,1 (FE控制),0.0323,SE = 0.0092,0.139 (转正),0.049,探讨效率 TE (长期红利),讨论 Efficiency,已修正,中文人工check
P_25,,彭继权_2021,核心期刊,微观 / 湖北省,2016,rice/whea/maiz/pota,1682,未报告,主粮单产 (Log),农业机械投入额 (Log),"Yˉ=7.174,Xˉ=4.137",IV-Tobit,1 (IV),1.219,SE = 0.400,0.482,0.03,稻1.22/麦0.81/玉1.11,YieldInt2 (分品种),已修正,中文人工check
