sample,variable,n,mean,sd,p1,p50,p95,p99,min,max
full,qt1_pc,3545,129.3734651048934,4824.6118,.32798281,7.70397,95.571426,486.875,0,285858.22
full,qt2_pc,3545,2.979578188522853,18.378408,0,.53267044,10.714286,31.428572,0,909.42859
full,qt3_pc,3545,12.11549686530138,56.823704,.01734104,3.0813954,36.598541,128.85715,0,2101.7834
full,qt4_pc,3545,5.40418746954513,37.924992,0,.58333331,15,76.530609,0,1317.8572
full,qt5_pc,3545,20.19065438290944,44.273911,.1744186,5.3389831,74.022385,152.61571,0,832.61292
full,qt6_pc,3545,12.84018880380943,46.039711,0,3.4137933,49.847828,96.55085,0,2144.2346
full,qb1_pc,3545,16.36363632717819,65.986504,0,3.5404625,59.926472,145.0625,0,2785.0159
full,qb2_pc,3545,1.994378236854696,15.19469,0,.375,7.5,16.714285,0,857.14288
full,qb3_pc,3545,7.388128174919824,40.270245,0,2.106534,24,65.914368,0,2101.7834
full,qb4_pc,3545,2.757641700668426,14.834164,0,.20437956,10.714286,32.142857,0,571.42859
full,qb5_pc,3545,6.393409725994537,20.945024,0,1.4830508,25.476191,62.135574,0,691.07495
full,qb6_pc,3545,9.338372931459421,23.996525,0,2.5785713,39.621716,83.571426,0,1000.4611
full,qs1_pc,3545,111.5097634518248,4824.0156,0,.96685082,39.42857,214.28572,0,285857.16
full,qs2_pc,3545,.9256508196986921,8.3642797,0,0,1.8103448,21.428572,0,214.28572
full,qs3_pc,3545,3.379861535476445,26.199446,0,0,12.857142,42.857143,0,687.85712
full,qs4_pc,3545,2.426930663610737,32.27951,0,0,4.2857141,21.428572,0,1285.7142
full,qs5_pc,3545,13.28138537635467,36.546398,0,1.3043478,60.142857,122.57143,0,829.0329
full,qs6_pc,3545,2.85843166423095,38.760788,0,0,10,49.285713,0,2142.8572
full,qg1_pc,3545,1.500066325641936,20.882338,0,0,2.1428571,21.428572,0,857.14288
full,qg2_pc,3545,.0595491370876911,.89068604,0,0,0,.5714286,0,34.285713
full,qg3_pc,3545,1.34750714993732,28.597141,0,0,1.8385952,12.857142,0,1286.0458
full,qg4_pc,3545,.2196150828940338,3.5938039,0,0,.06465517,2.6785715,0,128.57143
full,qg5_pc,3545,.5158592683822546,3.0289934,0,0,1.7142856,12.857142,0,54.642857
full,qg6_pc,3545,.6433842422807973,3.9621298,0,0,1.8181819,17.142857,0,85.714287
full,p1,3545,2.84833503761166,.67086965,1.98,2.7,4.25,5,1.9,5.875
full,p2,3545,4.455413916314058,1.8838745,2,4,8,11.25,2,13.9
full,p3,3545,13.46663347437706,4.0655618,8.9899998,12.75,22.111,27.4,8,30
full,p4,3545,8.566279689703808,2.7858498,4.5900002,7.9899998,15.7,18,4,21.700001
full,p5,3545,2.230983074753174,.9777956,.98000002,2,4.29,5.4899998,.68000001,7.9000001
full,p6,3545,5.669428960977903,2.041728,1.6,5.3400002,8.5,12,1.6,12
full,s1,3545,.2099113829517243,.16935305,.011120802,.16532406,.55443549,.84327179,0,.99644321
full,s2,3545,.0386035779553252,.06847693,0,.017868383,.14043297,.34785181,0,.94452113
full,s3,3545,.3450333699226568,.21877696,.0014389458,.32115433,.74244606,.90952146,0,.99161011
full,s4,3545,.0819733535157731,.11922473,0,.041188423,.32525435,.62396848,0,.99016023
full,s5,3545,.120784394858852,.10830186,.0028891675,.091159135,.32311869,.53999466,0,.87016028
full,s6,3545,.2036939207956687,.17555098,0,.15830116,.56919742,.73665321,0,.99139029
full,food_exp,3545,2032.150984293372,43799.391,19.089245,371.47354,3539.5537,13033.021,2.6779323,2581907.3
full,food_exp_pc,3545,735.1304492372916,14563.83,7.5581021,146.88252,1503.3525,5392.3086,1.9167725,860635.75
full,food_to_total_exp,3544,1.035281639544864,12.158207,.0074419058,.23309514,2.8118348,8.3911743,.00052859343,702.55212
full,income_annual,3509,48705.73850569956,115141.16,301.04999,26000,146700,320000,14,2728000
full,hhsize,3545,2.898166431593794,1.4064345,1,2,6,7,1,10
physical,qt1_pc,3175,14.8174844028411,18.244108,.30612245,5.5376458,54.955357,75.919914,0,88.821426
physical,qt2_pc,3175,1.650755664497845,3.0505226,0,.45918366,7.5,15.129683,0,30
physical,qt3_pc,3175,6.373581256943884,9.1172047,.014285714,2.4713452,25.16625,46.085644,0,59.328571
physical,qt4_pc,3175,1.837335131173953,3.0107255,0,.42492917,8.5714283,14.285714,0,20.357143
physical,qt5_pc,3175,14.22911995825401,20.9044,.15804598,3.8842976,58.738094,97.35714,0,138.24611
physical,qt6_pc,3175,8.923635154048785,14.131588,0,2.8888571,39.012238,66.585716,0,116.42857
physical,qb1_pc,3175,9.173065493182509,13.517586,0,2.8672435,38.725685,62.857143,0,87
physical,qb2_pc,3175,1.333739709884852,2.5335231,0,.31999999,6,12.857142,0,24.771427
physical,qb3_pc,3175,4.587080799397539,6.973464,0,1.8128729,18,33.707142,0,58.448978
physical,qb4_pc,3175,1.331016174618896,2.7009375,0,.16949153,7.1428571,14.285714,0,20.357143
physical,qb5_pc,3175,4.787852340021245,9.2110023,0,1.290967,21.428572,45.492428,0,134.71428
physical,qb6_pc,3175,7.115653190463692,11.797425,0,2.2046721,32.142857,54.528572,0,98.150246
physical,qs1_pc,3175,5.197613895069979,10.185127,0,.83102494,27.857143,47.142857,0,82.64463
physical,qs2_pc,3175,.2886676599557857,1.5122072,0,0,1.0714285,7.5,0,25.714285
physical,qs3_pc,3175,1.452443128582723,4.5945249,0,0,8.5714283,25.714285,0,47.142857
physical,qs4_pc,3175,.4464002941363115,1.5749134,0,0,2.8571427,8.5714283,0,17.142857
physical,qs5_pc,3175,9.018126462024284,17.661381,0,1.0563381,47.142857,87.321426,0,128.57143
physical,qs6_pc,3175,1.301647068151703,6.37183,0,0,6.4285712,32.464287,0,100
physical,qg1_pc,3175,.446805012913664,2.8969164,0,0,1.3927578,10.714286,0,66.1157
physical,qg2_pc,3175,.0283482927081748,.40473786,0,0,0,.42492917,0,12.857142
physical,qg3_pc,3175,.3340573179711832,1.9703591,0,0,1.0714285,8.5714283,0,42.857143
physical,qg4_pc,3175,.0599186601187848,.47761977,0,0,.0433526,2.1428571,0,13.846154
physical,qg5_pc,3175,.4231411446387496,2.4799795,0,0,1.243094,11.571428,0,49.285713
physical,qg6_pc,3175,.5063348918389048,3.1648147,0,0,1.4285713,13.432836,0,64.285713
physical,p1,3175,2.852451377952756,.67612302,1.98,2.7,4.3249998,5,1.9,5.875
