编号,来源,标题,作者_年份,期刊级别,数据层级/区域,调研/数据年份,作物分类,样本量 (N),自由度 (DF),因变量定义 (Y) 及形式,自变量定义 (X) 及形式,样本均值 (Yˉ / Xˉ),模型设定,控内生性,核心回归系数 β,标准误 SE 或 t 值,[轨道一] PCC,[轨道一] SEPCC​,[轨道二] CASM 对接弹性 (Emeta​),CASM 软链接目标,检查结果,beta,se_raw,t_raw,p_raw,N,DF_report,DF_used,t_stat,PCC_report,SE_PCC_report,PCC_recalc,SE_PCC_recalc,PCC,SE_PCC,PCC_source,elast_type,elasticity,Target,Path,Mech,Micro,Endog,PubYear,DataYear_mid,LogN
P_01,中文check版,,孟娜_2026,核心期刊,微观 / 安徽,2007-2024,rice,2412,2412,水稻单产 (Level),耕地块数 (Level),"Yˉ=495.069,Xˉ=5.799",双向固定效应 FE,1 (滞后一期 IV),-1.965,SE = 0.644,0.139,0.02,弹性 = 0.188,YieldInt2 (门槛机制),已修正,-1.965,0.644,,,2412,2412.0,2412.0,-3.051242236024845,0.139,0.02,-0.0620085366412152,0.0203223906345763,-0.0620085366412152,0.0203223906345763,recalc,full,0.188,Yield,OTH,0,1,1,2026.0,2015.5,7.788211557847076
P_02,中文check版,,姚成胜_2025,核心期刊,宏观 / 全国,2003-2023,cgrn,651,651,粮食总产 (Log),耦合协调度 (Log),未报告,固定效应空间杜宾 SDM,1 (空间滞后),0.349,t = 0.173,0.362,0.034,弹性 = 0.182,YieldInt2 (溢出机制),已修正,0.349,,0.173,,651,651.0,651.0,0.173,0.362,0.034,0.0067802487290413,0.03919218918521,0.0067802487290413,0.03919218918521,recalc,full,0.182,Yield,AML,1,0,1,2025.0,2013.0,6.478509642208569
P_03,中文check版,,彭建仿_2024,核心期刊,宏观 / 全国,2011-2021,cgrn,341,341,粮食单产 (Level),数字技术 (Level),"Yˉ=5.490,Xˉ=0.122",固定效应 FE,1 (IV),1.804,SE = 0.379,0.116,0.054,弹性 = 0.194,YieldInt2,已修正,1.804,0.379,,,341,341.0,341.0,4.759894459102902,0.116,0.054,0.2496040277438427,0.0524389836557186,0.2496040277438427,0.0524389836557186,recalc,full,0.194,Yield,OTH,0,0,1,2024.0,2016.0,5.831882477283517
P_04,中文check版,,管宁宁_2024,核心期刊,微观 / 江苏,2021,rice,533,533,产出效率 TE (Level),农业产业链服务 (Level),"Yˉ=0.874,Xˉ=1.115",Translog-SFA + CLAD,1 (PSM),0.007,SE = 0.002,0.086,0.043,探讨效率 TE,讨论 Efficiency,已修正,0.007,0.002,,,533,533.0,533.0,3.5,0.086,0.043,0.1498891536026581,0.0428254724579023,0.1498891536026581,0.0428254724579023,recalc,none,,Efficiency,AMS,1,1,1,2024.0,2021.0,6.278521424165844
P_05,中文check版,,薛信阳_2024,核心期刊,微观 / 豫鲁冀陕,2021,"whea, maiz",491,491,技术效率 TE (Level),农机社会化服务费用 (Log),"Yˉ=0.79,Xˉ=7.21",SFA + IV-Tobit,1 (村均值 IV),0.711,SE = 0.067,0.432,0.04,探讨效率 TE,讨论 Efficiency,已修正,0.711,0.067,,,491,491.0,491.0,10.61194029850746,0.432,0.04,0.4319320257119003,0.0407024553061847,0.4319320257119003,0.0407024553061847,recalc,none,,Efficiency,AMS,1,1,1,2024.0,2021.0,6.19644412779452
P_06,中文check版,,彭新宇_2023,核心期刊,宏观 / 全国,2009-2019,cgrn,309,309,技术无效率 (Level),农机服务规模经营 sca (Level),Xˉ=0.14,SFA 无效率模型,0,-1.570 (无效率),SE = 0.390,0.386,0.05,探讨效率 TE,讨论 Efficiency,已修正,-1.57,0.39,,,309,309.0,309.0,-4.0256410256410255,0.386,0.05,-0.2232317241935139,0.0554524665194079,-0.2232317241935139,0.0554524665194079,recalc,none,,Efficiency,AMS,1,0,0,2023.0,2014.0,5.733341276897745
P_07,中文check版,,魏素豪_2023,核心期刊,微观 / 华北,2019-2020,"whea, maiz",667,667,技术效率 TE (Level),本地化农机作业服务环节数 (Level),"Yˉ=0.546,Xˉ=4.113",SFA + CMP-IV-Tobit,1 (IV),0.058,SE = 0.017,0.13,0.038,探讨效率 TE,讨论 Efficiency,已修正,0.058,0.017,,,667,667.0,667.0,3.411764705882353,0.13,0.038,0.1309662224090441,0.0383866513957543,0.1309662224090441,0.0383866513957543,recalc,none,,Efficiency,AMS,1,1,1,2023.0,2019.5,6.502790045915623
P_08,中文check版,,胡霞_2023,核心期刊,微观 / 29省,"2015, 2017",cgrn,9297,9297,粮食作物播种面积占比 (Level),农机服务市场发育程度 (Level),"Yˉ=0.904,Xˉ=0.531",IV-Tobit,1 (IV),0.368,SE = 0.054,0.071,0.01,半弹性 = 0.407,AreaInt2,已修正,0.368,0.054,,,9297,9297.0,9297.0,6.814814814814815,0.071,0.01,0.0705018671369727,0.0103453826777079,0.0705018671369727,0.0103453826777079,recalc,semi,0.407,Area,AMS,1,1,1,2023.0,2016.0,9.137447046455858
P_09,中文check版,,刘颖_2023,核心期刊,微观 / 长江东北,2020,rice,859,未报告,水稻产量 (Log),亩均机械投入费 (Log),"Yˉ=550.33,Xˉ=260.03",SFA,0,0.207,SE = 0.085,0.083,0.034,弹性 = 0.207,YieldInt2,已修正,0.207,0.085,,,859,,859.0,2.4352941176470586,0.083,0.034,0.082805803234043,0.0340023829705007,0.082805803234043,0.0340023829705007,recalc,full,0.207,Yield,MCI,1,1,0,2023.0,2020.0,6.755768921984255
P_10,中文check版,,宦梅丽_2023,核心期刊,微观 / 全国,2018,maiz,1185,未报告,技术非效率 (Level),农机服务概率预测值 Service_p (Level),Xˉ=0.584,Probit + Translog SFA,1 (Probit预测值),-0.044 (无效率),SE = 0.021,0.056 (转正),0.026,探讨效率 TE,讨论 Efficiency,已修正,-0.044,0.021,,,1185,,1185.0,-2.095238095238095,0.056,0.026,-0.0607534907105671,0.0289959842027706,-0.0607534907105671,0.0289959842027706,recalc,none,,Efficiency,AMS,1,1,1,2023.0,2018.0,7.077498053569231
P_11,中文check版,,卢华_2023,核心期刊,微观 / 江苏,2018,rice,328,未报告,粮食单产 (Log),农机服务 (虚拟),"Yˉ=1225.49,Xˉ=0.49",IV 工具变量法,1 (IV),0.227,SE = 0.123,0.23,0.054,半弹性 = 0.180,YieldInt2,已修正,0.227,0.123,,,328,,328.0,1.845528455284553,0.23,0.054,0.1013772668751146,0.0549312943860753,0.1013772668751146,0.0549312943860753,recalc,semi,0.18,Yield,AMS,1,1,1,2023.0,2018.0,5.793013608384143
P_12,中文check版,,薛信阳_2022,核心期刊,微观 / 全国(CLDS),2016,cgrn,2272,未报告,粮食作物种植面积 (Level),农机社会化服务 (虚拟),"Yˉ=7.72,Xˉ=0.84",2SLS IV,1 (IV),0.116,p = 0.000,0.176,0.02,半弹性 = 0.0235,AreaInt2,已修正,0.116,,,0.0,2272,,2272.0,,0.176,0.02,,,0.176,0.02,report,semi,0.0235,Area,AMS,1,1,1,2022.0,2016.0,7.7284157798410416
P_14,中文check版,,刘琼_2022,核心期刊,宏观 / 主产区,1998-2017,cgrn,260,未报告,农业生产效率 SBM (Level),大中型农机跨区作业 wx_lnmechmax (Log),"Yˉ=0.847,Xˉ=5.743",SBM + 面板门槛,0,0.079 / 0.064,t = 2.98 / 2.43,0.196,0.061,探讨效率 TE (空间溢出),讨论 Efficiency,已修正,0.079,,2.98,,260,,260.0,2.98,0.196,0.061,0.1817342116183204,0.0609846347712484,0.1817342116183204,0.0609846347712484,recalc,none,,Efficiency,AMS,1,0,0,2022.0,2007.5,5.560681631015528
P_15,中文check版,,仇童伟_2021,核心期刊,微观 / 河南5县,2017,whea,3179,未报告,农地产出率 (Level),农机服务使用率 (Level),"Yˉ=5.465,Xˉ=0.879",2SLS IV,1 (IV),7.513,SE = 1.214,0.097,0.051,半弹性 = 0.134,YieldInt2 (适度规模),已修正,7.513,1.214,,,3179,,3179.0,6.188632619439868,0.097,0.051,0.1091060864845763,0.0176300797274425,0.1091060864845763,0.0176300797274425,recalc,semi,0.134,Yield,AMS,1,1,1,2021.0,2017.0,8.064321960910803
P_16,中文check版,,许佳彬_2021,核心期刊,微观 / 黑龙江,2019,maiz,298,未报告,技术无效率 (Level),农机作业服务 (Level),Xˉ=2.06,C-D SFA 无效率模型,0,-0.1200 (无效率),SE = 0.0291,0.205 (转正),0.057,探讨效率 TE,讨论 Efficiency,已修正,-0.12,0.0291,,,298,,298.0,-4.123711340206185,0.205,0.057,-0.2323429700758121,0.0563431702433844,-0.2323429700758121,0.0563431702433844,recalc,none,,Efficiency,AMS,1,1,0,2021.0,2019.0,5.697093486505405
P_17,中文check版,,杨思雨_2022,核心期刊,微观 / 6省区,2019,whea,544,未报告,小麦生产技术效率 (Level),农机社会化服务 (Level),"Yˉ=0.835,Xˉ=2.297",SFA + 门限回归,0 (门限),0.017 (中等规模),SE = 0.004,0.079,0.043,探讨效率 TE,讨论 Efficiency,已修正,0.017,0.004,,,544,,544.0,4.25,0.079,0.043,0.1792654619833765,0.0421801087019709,0.1792654619833765,0.0421801087019709,recalc,none,,Efficiency,AMS,1,1,0,2022.0,2019.0,6.298949246855942
P_18,中文check版,,杨思雨_2021,核心期刊,微观 / 12省区,2019,maiz,597,未报告,玉米生产技术效率 (Level),农机社会化服务 (虚拟),"Yˉ=0.818,Xˉ=0.499",SFA + PSM,1 (PSM),ATT=0.113,SE = 0.013,0.329,0.039,探讨效率 TE,讨论 Efficiency,已修正,0.113,0.013,,,597,,597.0,8.692307692307693,0.329,0.039,0.3351743660803422,0.0385598828234021,0.3351743660803422,0.0385598828234021,recalc,none,,Efficiency,AMS,1,1,1,2021.0,2019.0,6.391917113392602
P_19,中文check版,,朱满德_2021,核心期刊,宏观 / 全国,1978-2018,cgrn,1189,未报告,粮食播种面积占比 (Level),综合机械化率 (Level),未报告,双向固定效应 FGLS,1 (FE控制),0.101,SE = 0.007,0.103,0.029,弹性 = 0.015,AreaInt2,已修正,0.101,0.007,,,1189,,1189.0,14.428571428571429,0.103,0.029,0.3860082463836523,0.026753046779065,0.3860082463836523,0.026753046779065,recalc,full,0.015,Area,AML,1,0,1,2021.0,1998.0,7.080867896690782
P_20,中文check版,,睢忠林_2021,核心期刊,宏观 / 15省,2005-2018,cgrn,210,未报告,环境效率 GTFP (Level),农业机械替代劳动力 ML (Level),"Yˉ=0.8892,Xˉ=2.51",SBM-DEA + PSDM,1 (空间控制),0.044 (直接效应),SE = 0.005,0.216,0.059,环境效率机制探讨,环境机制探讨,已修正,0.044,0.005,,,210,,210.0,8.799999999999999,0.216,0.059,0.5190498502148625,0.0589829375244162,0.5190498502148625,0.0589829375244162,recalc,none,,Efficiency,MCI,1,0,1,2021.0,2011.5,5.3471075307174685
P_21,中文check版,,宦梅丽_2021,核心期刊,微观 / 全国,"2014, 2016",cgrn,2063,未报告,粮食生产技术效率 (Level),机耕服务 Tillage (虚拟),Yˉ=0.6973,SFA + GLS,0,0.0050,SE = 0.0029,0.028 (转正),0.014,探讨效率 TE,讨论 Efficiency,已修正,0.005,0.0029,,,2063,,2063.0,1.7241379310344829,0.028,0.014,0.0379323476593174,0.0220007616424041,0.0379323476593174,0.0220007616424041,recalc,none,,Efficiency,AMS,1,1,0,2021.0,2015.0,7.631916513071252
P_22,中文check版,,徐建玲_2020,核心期刊,宏观 / 20省,2004-2018,maiz,300,未报告,玉米单产 (Log),农业机械化投入 (Log),"Yˉ=5489.50,Xˉ=921.72",双向固定效应 FE,1 (FE控制),-0.04,SE = 0.02,-0.211,0.056,弹性 = -0.158,YieldInt2 (异质性),已修正,-0.04,0.02,,,300,,300.0,-2.0,-0.211,0.056,-0.1147078669352808,0.0573539334676404,-0.1147078669352808,0.0573539334676404,recalc,full,-0.158,Yield,MCI,1,0,1,2020.0,2011.0,5.703782474656201
P_23,中文check版,,彭超_2020,核心期刊,微观 / 全国,2003-2016,cgrn,226741,未报告,粮食产值 (Log),机械作业费用 (Log),"Yˉ=6.510,Xˉ=-1.321",CRE SFA,1 (CRE),0.00101,SE = 0.000183,0.070 (转正),0.003,探讨效率 TE,讨论 Efficiency,已修正,0.00101,0.000183,,,226741,,226741.0,5.51912568306011,0.07,0.003,0.0115898038338048,0.0020999347540458,0.0115898038338048,0.0020999347540458,recalc,none,,Efficiency,AMS,1,1,1,2020.0,2009.5,12.331563675899696
